id,name,role,profession,family,p_index,year
1473,lu₂-{d}nin-šubur,"['', ""['source']"", '', '', '', '', ""['recipient']"", ""['recipient']"", '', '', ""['recipient']"", '', '', '', ""['recipient']""]",šabra[administrator],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['136225', '125873', '416199', '103905', '103172', '100331', '126162', '130546', '106004', '106345', '136313', '113792', '109323', '117168', '129478']","['', '62.0929', '65.0100', '68.1000', '69.0105', '69.0620', '69.1000', '70.0700', '70.1100', '71.0108', '72.1000', '72.1014', '73.1000', '75.0600', '77.0100']"
1474,lu₂-{d}nin-šubur-ta,"[""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']""]",,"['', '', '', '', '', '', '']","['378619', '116259', '108696', '125038', '125519', '126108', '124928']","['57.0800', '62.1115', '64.0700', '72.0600', '74.1100', '77.0400', '79.1200']"
1475,lu₂-{d}nin-šubur,"[""['intermediary']"", ""['intermediary']"", '', '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",dubsar[scribe],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['118313', '101427', '122895', '108676', '134014', '416439', '405455', '109345', '128193', '101761', '100986', '101016', '303602', '134073', '211858', '106394', '125979', '330639']","['71.1100', '72.0000', '75.0315', '77.0000', '79.0613', '79.0901', '80.0116', '81.0100', '81.0127', '81.0424', '81.0914', '81.1207', '82.0404', '82.0416', '83.1020', '84.1013', '84.1021', '84.1024']"
1476,lu₂-{d}suen,"['', '', '', '', '', '', '', '', '', '', '', '', ""['recipient']"", '', '', '', '', '', '', '', '', '', '', '', '', ""['intermediary']"", '', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['102361', '113204', '117288', '123259', '125958', '128948', '430365', '430366', '430368', '430563', '457344', '458711', '130871', '209822', '211337', '113166', '100041', '123842', '128338', '390964', '390964', '101435', '101435', '122602', '122602', '109784', '212201', '126138', '201139', '330493', '330493', '145138', '128858', '128858']","['', '', '', '', '', '', '', '', '', '', '', '', '63.0000', '69.0100', '71.0922', '74.0700', '75.0000', '75.1219', '83.0100', '83.0400', '83.0400', '83.0500', '83.0500', '83.0600', '83.0600', '83.0705', '83.0913', '84.0000', '84.0000', '84.0700', '84.0700', '85.0700', '86.0300', '86.0300']"
1477,lu₂-{d}suen,"['', '']",nubanda[overseer],"['', '']","['115604', '210404']","['', '']"
1478,lu₂-{d}suen#,"['', '']",,"['', '']","['118497', '303588']","['', '']"
1479,lu₂-{d}suen-ta,"[""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']""]",,"['', '', '', '', '']","['101411', '128824', '210623', '125857', '106397']","['54.0600', '65.0000', '66.0000', '74.1200', '85.0400']"
1480,lu₂-{d}suen,"[""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",dubsar[scribe],"['', '', '', '', '', '', '', '', '']","['145520', '234996', '117298', '201023', '290411', '106242', '107925', '128632', '332375']","['68.0217', '75.1207', '76.0223', '76.0416', '76.0416', '76.0503', '76.1215', '76.1227', '77.0204']"
1481,lu₂-{d}utu,"['', '', '', '', ""['intermediary']"", '', '', ""['intermediary']"", ""['intermediary']"", ""['source']"", '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", '', '', '', '', ""['source']"", '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['104224', '104264', '106157', '107590', '115591', '117479', '126268', '128022', '128108', '131645', '135145', '142083', '390783', '430374', '430375', '430376', '430544', '456039', '102693', '102693', '102693', '200999', '200999', '123350', '131588', '131588', '101417', '101417', '101417', '126080', '375856', '103357', '218225', '129513', '104594', '124335', '202529', '104513', '145065', '106064']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '56.0000', '56.0000', '56.0000', '61.0500', '61.0500', '62.0500', '63.1230', '63.1230', '65.0410', '65.0410', '65.0410', '65.0800', '65.1000', '66.1000', '69.0600', '73.1200', '74.0000', '74.0300', '74.0400', '82.0100', '83.0600', '85.1227']"
1482,lu₂-{d}utu,"['', ""['intermediary']""]",šakkanak[general],"['', '']","['430238', '130883']","['', '59.0800']"
1483,lu₂-{d}utu,"['', ""['intermediary']""]",dubsar[scribe],"['', '']","['272553', '106393']","['', '84.0621']"
1484,lu₂-{d}utu-ta,"[""['source']"", ""['source']"", ""['source']"", '', ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']""]",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['117462', '117462', '272553', '134785', '131577', '117285', '201081', '210454', '106206', '125026', '144212', '103144', '129513', '202529', '102866', '125593', '130319', '117294', '124563', '118525', '104259']","['', '', '', '60.0400', '62.1000', '64.0100', '65.0400', '66.0500', '72.0600', '72.0921', '73.0900', '73.1200', '73.1200', '74.0400', '74.1110', '76.0900', '77.0800', '81.0600', '84.0403', '84.0600', '85.1200']"
1485,lu₂-{d}x,"['', '', '', '']",,"['', '', '', '']","['430282', '123196', '100331', '414564']","['', '65.0504', '69.0620', '79.0600']"
1486,lu₂-{d}x-[...],"['', '']",,"['', '']","['200999', '128649']","['61.0500', '81.0000']"
1487,lu₂-{d}šara₂,"['', '', ""['source']"", '']",unud[cowherd],"['', '', '', '']","['332152', '332152', '124956', '115974']","['', '', '68.0800', '74.1017']"
1488,lu₂-{d}šara₂#?,"['', '']",,"['', '']","['126312', '118445']","['68.0101', '75.0000']"
1489,lu₂-{d}šara₂,"['', ""['source']"", '', '', '', '']",,"['', 'dumu er₃-[...]-ta', '', '', '', 'dumu {d}en-lil₂-i₃-zu']","['131573', '125690', '106236', '106236', '273524', '201139']","['60.0000', '73.0110', '73.0800', '73.0800', '83.1000', '84.0000']"
1490,lu₂-{d}šu-{d}suen,"['', '']",,"['dumu lugal-ma₂-gur₈-re', '']","['212172', '125909']","['80.0807', '85.1017']"
1491,lu₂-{d}šul-gi,"['', ""['intermediary']"", '', '', '']",,"['', '', '', '', '']","['102950', '103838', '202540', '131597', '115475']","['', '', '', '69.0600', '75.0318']"
1492,lu₂-{d}šul-gi-ra,"['', '', '', '']",,"['', '', '', '']","['129461', '134239', '112432', '100794']","['64.0113', '70.0408', '79.0000', '84.0000']"
1493,lu₂-{d}šul-gi-ta,"['', ""['source']""]",,"['', '']","['129506', '113867']","['', '71.0200']"
1494,lu₂-{geš}gigir,"['', '', '', '']",,"['', '', '', '']","['332400', '378619', '125962', '125665']","['', '57.0800', '68.0100', '77.1100']"
1495,lu₂-ša-[lim],"['', '', '']",,"['', '', '']","['332286', '390938', '128195']","['', '77.1207', '82.0608']"
1496,lu₂-ša-lim,"['', '', ""['representative']"", '', '', '', '', '', '', ""['representative']"", '', '', '', ""['recipient']"", ""['recipient']"", '', '', '', '', '', '', '', '', '', ""['intermediary']"", '', '', ""['intermediary']"", ""['intermediary']"", ""['source']"", '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", '', '', '', '', '', ""['intermediary']"", '', ""['representative']"", ""['representative']"", ""['intermediary']"", '', '', '', '', '', ""['intermediary']"", '', ""['intermediary']"", '', ""['intermediary']"", '', '', '', '', ""['representative']"", ""['representative']"", ""['representative']"", '', ""['representative']"", ""['intermediary']"", '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['102874', '104131', '104219', '123359', '125958', '125958', '127740', '129499', '129505', '129509', '135107', '136225', '144045', '201204', '290693', '430369', '430370', '455728', '101384', '102134', '108694', '131588', '390819', '331989', '129510', '129511', '129511', '130424', '130424', '130424', '122144', '134777', '134777', '144234', '202529', '104184', '129516', '145114', '200532', '117210', '123842', '128927', '111926', '103102', '117277', '124928', '117545', '118482', '117465', '125825', '104572', '145841', '109784', '125423', '125651', '391005', '145844', '124570', '104622', '126171', '131572', '453954', '212204', '125700', '130527', '115529']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '55.0800', '58.1000', '61.0701', '63.1230', '69.1000', '72.0900', '72.1100', '73.0214', '73.0214', '73.0604', '73.0604', '73.0604', '73.0927', '73.0928', '73.0928', '73.1205', '74.0400', '74.1106', '75.0000', '75.0000', '75.0000', '75.1015', '75.1219', '76.0000', '76.0917', '78.0200', '78.0902', '79.1200', '80.0719', '80.0719', '80.1120', '83.0600', '83.0604', '83.0702', '83.0705', '84.0900', '84.0901', '84.0908', '84.0916', '84.0922', '84.1115', '84.1116', '85.0713', '85.0723', '85.1125', '85.1200', '85.1200', '86.0622']"
1497,lu₂-ša-lim,"['', '', '', '', '', '', '', '', '', '']",nubanda[overseer],"['', '', '', '', '', '', '', '', '', '']","['110433', '134723', '127361', '142635', '429788', '292620', '101317', '112842', '117227', '122159']","['', '', '65.0504', '65.1115', '66.0826', '68.1100', '69.0700', '71.0319', '71.0715', '71.0929']"
1498,lu₂-ša-lim,"['', ""['intermediary']"", ""['intermediary']""]",lu[person],"['', '', '']","['129523', '125511', '112104']","['', '61.0310', '74.0508']"
1499,lu₂-ša-lim-ta,"['', ""['source']"", ""['source']"", ""['source']"", ""['source']"", ""['source']""]",,"['', '', '', '', '', '']","['131665', '130424', '113800', '116800', '117537', '125783']","['', '73.0604', '74.0300', '74.0500', '74.1119', '75.0900']"
1500,lu₂-ša-lim,"[""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",dubsar[scribe],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['103834', '106148', '332561', '248730', '125847', '125871', '100227', '109783', '128629', '303631', '106134', '128854', '104572', '128933', '464910', '126528', '145843', '103070', '135243']","['82.0100', '82.0608', '82.0728', '82.0907', '82.1006', '82.1010', '83.0100', '83.0100', '83.0101', '83.0128', '83.0205', '83.0213', '83.0604', '83.0700', '83.0712', '83.1103', '84.0600', '84.1000', '84.1000']"
1501,lu₂?-[...],"['', '']",,"['', '']","['122584', '125714']","['', '76.0630']"
1502,lu₅-u₂-mu,"['', '']",,"['', '']","['430202', '145102']","['', '84.1200']"
1503,lu₅-zi,"[""['recipient']"", ""['intermediary']"", ""['recipient']""]",,"['', '', '']","['126272', '124361', '126279']","['', '71.0810', '72.0927']"
1504,ma-<nu>-um-ki-{d}šul-gi,"['', '']",,"['', '']","['145123', '430413']","['', '']"
1505,ma-al-kum-še₃,"['', '', '', '']",,"['', '', '', '']","['106440', '124495', '135114', '106043']","['75.0008', '75.0105', '77.0907', '79.0512']"
1506,ma-an-ba,"['', '', '', '']",,"['', '', '', '']","['106157', '107565', '201377', '406887']","['', '', '', '']"
1507,ma-ar-hu-ni,"['', '', '']",lu[person],"['', '', '']","['113157', '212008', '142961']","['67.0817', '72.0810', '73.0805']"
1508,ma-ar-hu-ni,"['', '', '']",,"['', '', '']","['109660', '109224', '117409']","['71.0305', '71.0830', '74.0100']"
1509,ma-at-i₃-li₂,"['', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '']","['104131', '290693', '124934', '387673', '131588', '102016', '125941', '129518']","['', '', '62.1100', '62.1200', '63.1230', '70.0920', '71.0100', '85.0625']"
1510,ma-at-i₃-li₂-ta,"[""['source']"", ""['source']"", ""['source']""]",,"['', '', '']","['272553', '134751', '126121']","['', '64.0000', '77.0500']"
1511,ma-at-i₃-li₂,"['', ""['representative']""]",ragaba[rider],"['', '']","['124590', '144267']","['70.0200', '73.0000']"
1512,ma-ba,"[""['intermediary']"", ""['intermediary']""]",,"['', '']","['104135', '210633']","['', '84.1100']"
1513,ma-di₃-na-ad,"['', '']",MAR.TU[westerner],"['', '']","['107629', '200579']","['', '']"
1514,ma-ma-a,"['', '']",,"['', '']","['107564', '124928']","['59.0100', '79.1200']"
1515,ma-ma-ab₂?,"['', '']",,"['', '']","['430458', '117251']","['', '75.0700']"
1516,ma-na-a,"['', '']",nubanda[overseer],"['', '']","['332360', '104787']","['67.1000', '80.1100']"
1517,ma-na-ma-tum,"['', '']",MAR.TU[westerner],"['', '']","['103741', '122133']","['', '65.0730']"
1518,ma-num₂-ki-{d}šul-[gi],"['', '']",,"['', '']","['134691', '135131']","['76.0317', '85.0415']"
1519,ma-num₂-ki-{d}šul-gi,"['', '', '', '', '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", '']",,"['', '', '', '', '', '', '', '', '']","['430378', '430380', '430381', '108694', '144281', '106019', '332109', '142127', '118285']","['', '', '', '61.0701', '74.0319', '76.0712', '76.0714', '76.0718', '85.0406']"
1520,ma-num₂-ki-{d}šul-gi,"[""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",dubsar[scribe],"['', '', '']","['211326', '131031', '118285']","['75.0400', '76.0309', '85.0406']"
1521,ma-num₂-ki-{d}šul-gi,"[""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",šarrabdu[administrator],"['', '', '', '']","['126566', '102165', '201102', '106405']","['78.0616', '83.0519', '84.1226', '85.1000']"
1522,ma-ti-i₃-li₂,"['', '', '']",,"['', '', '']","['108690', '125972', '104286']","['', '', '84.1200']"
1523,ma-šum,"[""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['intermediary']"", ""['representative']""]",šagia[cup-bearer],"['', '', '', '', '', '']","['103915', '129483', '128197', '145148', '368383', '129467']","['', '80.0200', '83.0000', '85.0109', '86.0921', '86.1009']"
1524,ma-šum,"['', '', '', '', '', '', '', '', ""['representative']"", ""['intermediary']"", '', ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", '', ""['intermediary']"", ""['intermediary']"", ""['representative']"", ""['intermediary']"", ""['intermediary']"", '', ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['recipient']"", '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['104615', '117579', '136225', '145304', '430383', '430384', '430385', '430435', '126359', '321028', '126343', '101351', '234958', '101354', '132009', '123645', '123504', '130530', '211695', '101360', '107564', '101362', '107982', '131588', '143757', '101379', '123583', '134747', '125696', '104552', '104552', '104710', '104286', '106064']","['', '', '', '', '', '', '', '', '51.0500', '53.0400', '53.0600', '53.1000', '53.1000', '54.0400', '54.0500', '54.0600', '55.0600', '57.0800', '58.0613', '58.0930', '59.0100', '59.0200', '60.0230', '63.1230', '65.0500', '65.0622', '65.0900', '67.0100', '81.0200', '83.1100', '83.1100', '83.1200', '84.1200', '85.1227']"
1525,ma-šum-ta,"[""['source']"", ""['source']""]",,"['', '']","['104181', '112971']","['', '85.0624']"
1526,ma-šum,"[""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",dubsar[scribe],"['', '', '', '', '', '']","['115530', '131603', '129467', '125758', '129468', '116900']","['86.0614', '86.1003', '86.1009', '86.1015', '86.1024', '86.1025']"
1527,mar-da-mu-um,"['', '']",,"['', '']","['100988', '126273']","['', '']"
1528,mar-hu-ni,"['', '', '', '', '', '', '', '', '', '']",lu[person],"['', '', '', '', '', '', '', '', '', '']","['127306', '124524', '104788', '128613', '416418', '126505', '110438', '124283', '106209', '210424']","['69.0212', '69.0717', '69.1103', '72.0805', '72.0829', '73.0807', '73.0816', '74.0604', '74.0610', '74.0616']"
1529,mar₂-da,"['', '', '']",,"['', '', '']","['303668', '118457', '109224']","['62.0200', '67.0000', '71.0830']"
1530,maš-gal,"['', '']",,"['', '']","['433587', '433587']","['76.1000', '76.1000']"
1531,maš-gu-la,"['', '', '', '', '']",,"['', '', '', '', '']","['430382', '390796', '125875', '128400', '102933']","['', '49.0600', '52.1000', '64.0600', '65.0201']"
1532,maš-tur,"[""['representative']"", ""['representative']"", ""['representative']"", '', ""['representative']"", ""['representative']"", '', ""['representative']"", ""['representative']"", '', ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", '', ""['representative']"", '', ""['representative']"", ""['representative']"", ""['representative']"", '', ""['representative']"", '', ""['representative']"", ""['representative']"", ""['representative']""]",šagia[cup-bearer],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['103224', '117336', '125943', '135172', '320496', '320496', '330397', '122887', '124508', '128900', '107800', '113788', '102859', '210441', '115522', '116195', '116195', '103902', '128156', '109647', '123968', '107840', '109680', '131876', '130345', '124022', '124023', '144096', '124027', '211474', '126450', '127579', '107852', '104763', '142408', '104136', '134085', '124218', '126611', '497968', '129473', '106163', '131683']","['', '', '', '', '', '', '', '66.1112', '69.0928', '69.1021', '69.1228', '70.0114', '70.0210', '70.0616', '70.0624', '70.1001', '70.1001', '70.1011', '70.1012', '71.0016', '71.0711', '71.0716', '71.0812', '71.0819', '71.1000', '71.1003', '71.1006', '71.1023', '71.1024', '71.1113', '71.1200', '71.1208', '71.1210', '71.1220', '71.1220', '71.1222', '72.0118', '72.0700', '72.0727', '72.0926', '72.1010', '72.1024', '72.1120']"
1533,maš-tur,"['', ""['representative']"", '']",,"['', '', '']","['430335', '132114', '104637']","['', '67.1021', '81.1000']"
1534,ma₂-gur₈-re-ta,"['', ""['source']""]",,"['', '']","['118507', '131083']","['46.1200', '60.1200']"
1535,ma₂-li-li,"['', '', '', '', '']",,"['', '', '', '', '']","['107624', '235900', '113455', '292620', '143974']","['', '64.0416', '65.0516', '68.1100', '70.0925']"
1536,ma₂-sa₆-sa₆,"['', '', '', '', '', '', '']",,"['', '', '', '', '', '', '']","['124226', '134682', '126139', '117621', '142576', '142632', '142632']","['67.1200', '68.1007', '69.0900', '71.0126', '71.0803', '71.0914', '71.0914']"
1537,me-eš₁₈-dar,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",,"['dumu lugal-še₃', '', '', '', '', '', '', '', '', '', '', '', '', '']","['107985', '128761', '132068', '124340', '123473', '133851', '104826', '212077', '127829', '123243', '100270', '123670', '123270', '332578']","['', '', '60.0528', '61.0230', '62.0215', '62.0906', '63.0107', '63.0407', '63.0929', '63.1100', '64.1000', '64.1222', '65.0430', '65.0805']"
1538,me-eš₁₈?-dar?,"['', '']",,"['', '']","['109258', '124644']","['64.0900', '65.0913']"
1539,me-ra-ah-{d}šul-gi,"['', '']",,"['dumu ma-aš-hu-un-da-hi-li', 'dumu ma-aš-hu-un-dah-li']","['125945', '117468']","['67.0506', '67.0527']"
1540,me-{d}ištaran,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['103191', '131561', '125588', '143924', '125724', '136240', '108701', '105887', '103430', '101810', '103163', '125426', '133928', '101868', '123986', '116167', '118586', '124001', '107851', '212047', '124053', '136236', '129473', '124918', '124920', '320511', '102921', '117616', '124082', '125964', '117319', '124309', '136243', '144301', '111798', '136260', '111997', '111799', '106007', '211955', '144403', '104507', '406815', '116873', '116872', '125861', '126763', '201101', '114349']","['', '67.0118', '68.0303', '68.0900', '68.1000', '70.0617', '70.0701', '70.0727', '70.1027', '70.1200', '70.1207', '71.0104', '71.0213', '71.0629', '71.0815', '71.0901', '71.0911', '71.0911', '71.1113', '71.1125', '71.1222', '72.1006', '72.1010', '72.1111', '73.0814', '73.0930', '73.1112', '74.0412', '74.0622', '74.0702', '74.0723', '74.0912', '74.0912', '74.1112', '74.1211', '74.1228', '75.0111', '75.0327', '75.0403', '75.0511', '76.0400', '76.0401', '76.0911', '77.1210', '79.1109', '82.0311', '82.0510', '83.0312', '83.0912']"
1541,me-{d}ištaran#,"['', '', '']",,"['', '', '']","['124067', '109202', '142807']","['73.0511', '81.0400', '82.0300']"
1542,me-{d}ištaran,"['', '', '', '']",dumumunus[daughter],"['', '', '', '']","['127667', '135067', '135067', '113886']","['72.0300', '75.0800', '75.0800', '86.0400']"
1543,me-{d}nin-isin₂?{si},"['', '']",,"['', '']","['108674', '131574']","['', '71.0820']"
1544,me-{d}nisaba,"['', '']",,"['', '']","['201147', '303683']","['', '82.1114']"
1545,me-{d}šul-gi,"['', '']",dumumunus[daughter],"['', '']","['134065', '127334']","['62.0808', '68.0118']"
1546,mi-da-nu-um,"['', '', '']",MAR.TU[westerner],"['', '', '']","['100971', '142050', '127348']","['', '', '64.0715']"
1547,mi-il-ga-nu-um,"['', '']",,"['', '']","['200533', '125751']","['71.0627', '76.1214']"
1548,mi-iš-hi-ni-iš-hi,"['', '']",,"['', '']","['125945', '117468']","['67.0506', '67.0527']"
1549,mu-[x],"['', '', '', '', '']",,"['', '', '', '', '']","['125931', '125931', '125931', '125931', '117222']","['', '', '', '', '70.0212']"
1550,mu-lu-uš,"['', '']",,"['', '']","['131597', '108701']","['69.0600', '70.0701']"
1551,mu-ni-mah,"['', '', '']",,"['', '', '']","['430324', '456364', '210120']","['', '', '80.0117']"
1552,mu-ni,"[""['intermediary']"", ""['intermediary']"", ""['intermediary']""]",,"['', '', '']","['116903', '116904', '116902']","['74.0823', '74.0824', '74.0830']"
1553,mu-ri-na-ba,"[""['intermediary']"", '']",,"['', '']","['108710', '130412']","['73.1020', '86.0708']"
1554,mu-ša,"['', '']",sig[clear],"['', '']","['102361', '109784']","['', '83.0705']"
1555,na#-lu₅#,"[""['source']"", ""['recipient']"", ""['recipient']""]",,"['', '', '']","['429931', '134918', '212347']","['62.1104', '73.0320', '73.0400']"
1556,na#-lu₅-ta,"['', '', '', ""['source']"", '']",,"['', '', '', '', '']","['107990', '134983', '124180', '124191', '102352']","['63.0901', '67.1010', '70.1122', '74.0805', '76.0228']"
1557,na#-lu₅,"['', ""['recipient']"", '', ""['recipient']""]",,"['', '', '', '']","['102631', '123793', '134912', '112104']","['64.0519', '69.0220', '69.1216', '74.0508']"
1558,na#-sa₆#,"[""['recipient']"", ""['recipient']"", ""['recipient']""]",,"['', '', '']","['235343', '142571', '124798']","['61.1100', '65.0930', '66.0803']"
1559,na#-sa₆-ta,"['', '', '', '', '']",,"['', '', '', '', '']","['235924', '123262', '212140', '330480', '123291']","['64.0100', '65.0100', '65.0100', '65.0915', '65.1100']"
1560,na#-sa₆,"[""['recipient']"", ""['recipient']""]",,"['', '']","['142429', '123512']","['62.1205', '65.0700']"
1561,na-[...],"[""['source']"", '', '', '', ""['source']"", '']",,"['', '', '', '', '', '']","['117363', '123410', '143773', '143875', '134700', '101449']","['', '', '66.0700', '67.0309', '71.0100', '74.1200']"
1562,na-[lu₅]-ta#,"[""['source']"", ""['source']"", ""['source']""]",,"['', '', '']","['320811', '320947', '320973']","['64.0110', '67.0104', '69.0314']"
1563,na-[lu₅],"[""['source']"", '', '']",,"['', '', '']","['123637', '104044', '145501']","['62.0302', '72.0725', '73.1018']"
1564,na-[sa₆],"[""['recipient']"", '']",,"['', '']","['128117', '101318']","['61.0500', '71.0000']"
1565,na-a-na,"['', '']",,"['', '']","['118416', '456534']","['', '']"
1566,na-ah-ba-tum,"['', '']",šub[fall],"['', '']","['125021', '125021']","['69.0200', '69.0200']"
1567,na-ah-šum-bala,"['', '', '', '', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '']","['132003', '134066', '127361', '123443', '201151', '102939', '131594', '100983', '118472', '105945', '109321']","['', '', '65.0504', '65.1210', '67.0427', '71.0410', '71.1009', '71.1201', '71.1229', '73.0813', '74.0313']"
1568,na-ap-la-nu-um,"['', '', '', '']",,"['', '', '', '']","['105176', '105176', '117196', '108701']","['', '', '63.1115', '70.0701']"
1569,na-ap-la-nu-um,"['', ""['source']"", '', '', '', ""['source']"", ""['source']"", '', '', '', '', '', ""['source']"", '', '', '', '', '', '']",MAR.TU[westerner],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['109527', '116157', '127584', '320496', '107600', '118481', '117434', '135030', '390983', '103993', '320505', '142635', '212104', '116173', '135084', '129471', '125760', '126482', '109772']","['', '', '', '', '63.0801', '64.0400', '64.0715', '64.0716', '64.0907', '65.0600', '65.0613', '65.1115', '68.1013', '69.0216', '69.1005', '70.0105', '74.0404', '74.1013', '77.0809']"
1570,na-ap-la-num₂,"['', '', '', '', '', '', '', ""['source']"", '']",,"['', '', '', '', '', '', '', '', '']","['101393', '112091', '101774', '101774', '131597', '106345', '109323', '117409', '200511']","['', '64.0904', '67.0108', '67.0108', '69.0600', '71.0108', '73.1000', '74.0100', '76.0600']"
1571,na-ap-la-num₂,"['', '', '', '', '', '', '', '', '', ""['source']"", '', '', '', ""['source']"", '', '', '', ""['source']"", '', '', '', '', ""['source']"", '', '', '', '', '', '', '', '', '', ""['source']"", '', '', '']",MAR.TU[westerner],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['101758', '115526', '115526', '117336', '126273', '135134', '102631', '116220', '123345', '122887', '122887', '109223', '103298', '200529', '130381', '126177', '113788', '101394', '124176', '136231', '114333', '129473', '100967', '125964', '144275', '129514', '129514', '129514', '129514', '131590', '136226', '103926', '106188', '124306', '128193', '126507']","['', '', '', '', '', '', '64.0519', '65.0500', '65.1200', '66.1112', '66.1112', '66.1120', '66.1212', '67.0226', '69.0215', '69.1017', '70.0114', '70.0506', '70.0709', '70.0919', '71.0705', '72.1010', '73.0104', '74.0702', '74.0707', '74.1000', '74.1000', '74.1000', '74.1000', '74.1017', '74.1229', '75.0225', '75.1117', '75.1117', '81.0127', '81.0704']"
1572,na-ap-li₂-is-e₂-a,"['', '']",nar[musician],"['', '']","['143924', '211920']","['68.0900', '68.0912']"
1573,na-ba-sa₆,"[""['recipient']"", '', ""['recipient']"", ""['intermediary']"", ""['intermediary']""]",,"['', '', '', '', '']","['116194', '129495', '143885', '124361', '125022']","['', '', '66.1200', '71.0810', '73.0300']"
1574,na-bi₂-{d}en-lil₂,"['', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '']","['430386', '105137', '100331', '122736', '131594', '117170', '113813', '113854']","['', '61.0700', '69.0620', '71.0307', '71.1009', '75.1217', '78.0228', '84.0800']"
