name,role,profession,family,p index,year
ARADâ‚‚-mu,['representative'],,,134065,62.0808
ARADâ‚‚-mu,['representative'],,,303587,62.0917
ARADâ‚‚-mu,,,,126649,62.1
ARADâ‚‚-mu,,,,116259,62.1115
ARADâ‚‚-mu,,,,113437,63.03
ARADâ‚‚-mu,['representative'],,,320620,63.0613
ARADâ‚‚-mu,['representative'],,,332353,63.0629
ARADâ‚‚-mu,['representative'],,,103159,63.08
ARADâ‚‚-mu,['representative'],,,107600,63.0801
ARADâ‚‚-mu,['representative'],,,142406,63.083
ARADâ‚‚-mu,['representative'],,,211604,63.0927
ARADâ‚‚-mu,['representative'],,,107996,63.1022
ARADâ‚‚-mu,['representative'],,,211817,63.1211
ARADâ‚‚-mu,['representative'],,,109240,64.01
ARADâ‚‚-mu,,MAR.TU[westerner],,116192,64.0101
ARADâ‚‚-mu,,,,129461,64.0113
ARADâ‚‚-mu,['representative'],,,117429,64.0116
ARADâ‚‚-mu,['representative'],,,330458,64.0124
ARADâ‚‚-mu,['representative'],,,128893,64.0129
ARADâ‚‚-mu,['representative'],Å¡agia[cup-bearer],,122886,64.0222
ARADâ‚‚-mu,['representative'],,,112843,64.0228
ARADâ‚‚-mu,['representative'],,,480377,64.0305
ARADâ‚‚-mu,['representative'],,,248876,64.0307
ARADâ‚‚-mu,['representative'],,,118481,64.04
ARADâ‚‚-mu,['representative'],,,125585,64.0405
ARADâ‚‚-mu,['representative'],,,130386,64.0406
ARADâ‚‚-mu,['representative'],,,212141,64.0406
ARADâ‚‚-mu,['representative'],,,129462,64.0408
ARADâ‚‚-mu,,maÅ¡kim[administrator],,103963,64.0409
ARADâ‚‚-mu,['representative'],,,130404,64.0413
ARADâ‚‚-mu,['representative'],,,122140,64.0415
ARADâ‚‚-mu,['representative'],,,105820,64.0418
ARADâ‚‚-mu,['representative'],,,122765,64.0419
ARADâ‚‚-mu,['representative'],,,107617,64.0421
ARADâ‚‚-mu,['representative'],,,303691,64.0426
ARADâ‚‚-mu,['representative'],,,123694,64.0427
ARADâ‚‚-mu,['representative'],,,123622,64.0428
ARADâ‚‚-mu,['representative'],,,135026,64.043
ARADâ‚‚-mu,,,,123336,64.05
ARADâ‚‚-mu,['representative'],,,107621,64.0501
ARADâ‚‚-mu,['representative'],,,107623,64.0503
ARADâ‚‚-mu,['representative'],,,303689,64.0504
ARADâ‚‚-mu,['representative'],,,124459,64.0515
ARADâ‚‚-mu,['representative'],,,102631,64.0519
ARADâ‚‚-mu,['representative'],,,106309,64.0527
ARADâ‚‚-mu,['representative'],,,143118,64.0529
ARADâ‚‚-mu,['representative'],,,123612,64.0606
ARADâ‚‚-mu,['representative'],,,127347,64.071
ARADâ‚‚-mu,['representative'],,,117434,64.0715
ARADâ‚‚-mu,['representative'],,,127348,64.0715
ARADâ‚‚-mu,['representative'],,,135030,64.0716
ARADâ‚‚-mu,['representative'],,,124636,64.0803
ARADâ‚‚-mu,['representative'],,,135031,64.0805
ARADâ‚‚-mu,['representative'],,,135032,64.0829
ARADâ‚‚-mu,,maÅ¡kim[administrator],,112091,64.0904
ARADâ‚‚-mu,['representative'],,,390983,64.0907
ARADâ‚‚-mu,['representative'],,,105819,64.0918
ARADâ‚‚-mu,['representative'],,,122664,64.1106
ARADâ‚‚-mu,['representative'],,,332185,65
ARADâ‚‚-mu,['representative'],,,130537,65.0015
ARADâ‚‚-mu,['representative'],,,102573,65.0117
ARADâ‚‚-mu,['representative'],,,105830,65.0127
ARADâ‚‚-mu,,,,123672,65.0215
ARADâ‚‚-mu,,,,118426,65.0221
ARADâ‚‚-mu,,,,131591,65.0221
ARADâ‚‚-mu,['representative'],,,112419,65.0222
ARADâ‚‚-mu,['representative'],,,211847,65.0223
ARADâ‚‚-mu,['representative'],,,210421,65.03
ARADâ‚‚-mu,['representative'],,,124344,65.0309
ARADâ‚‚-mu,['representative'],,,107680,65.0314
ARADâ‚‚-mu,['representative'],,,131850,65.0317
ARADâ‚‚-mu,['representative'],,,212113,65.0318
ARADâ‚‚-mu,['representative'],,,126775,65.041
ARADâ‚‚-mu,['representative'],,,303355,65.0414
ARADâ‚‚-mu,['representative'],,,123511,65.0418
ARADâ‚‚-mu,['representative'],,,100975,65.042
ARADâ‚‚-mu,,,,107686,65.0501
ARADâ‚‚-mu,,,,125831,65.0501
ARADâ‚‚-mu,['representative'],,,106316,65.051
ARADâ‚‚-mu,,,,126400,65.0519
ARADâ‚‚-mu,['representative'],,,103993,65.06
ARADâ‚‚-mu,['representative'],,,406804,65.06
ARADâ‚‚-mu,,,,107689,65.0607
ARADâ‚‚-mu,['representative'],,,107689,65.0607
ARADâ‚‚-mu,['representative'],,,125821,65.061
ARADâ‚‚-mu,['representative'],,,320505,65.0613
ARADâ‚‚-mu,['representative'],,,107690,65.0615
ARADâ‚‚-mu,['representative'],,,122777,65.0616
ARADâ‚‚-mu,['representative'],,,320506,65.0619
ARADâ‚‚-mu,['representative'],,,105170,65.0705
ARADâ‚‚-mu,,,,126358,65.0708
ARADâ‚‚-mu,['representative'],,,133918,65.0709
ARADâ‚‚-mu,['representative'],,,135035,65.071
ARADâ‚‚-mu,['representative'],,,105824,65.0712
ARADâ‚‚-mu,['representative'],,,117190,65.0712
ARADâ‚‚-mu,['representative'],,,123703,65.0715
ARADâ‚‚-mu,['representative'],,,123535,65.0724
ARADâ‚‚-mu,['representative'],,,123464,65.0725
ARADâ‚‚-mu,['representative'],,,122133,65.073
ARADâ‚‚-mu,['representative'],,,332358,65.0818
ARADâ‚‚-mu,['representative'],,,108787,65.0822
ARADâ‚‚-mu,,gala[singer],dumu ad-da-bi,118469,65.0828
ARADâ‚‚-mu,['representative'],,,118469,65.0828
ARADâ‚‚-mu,,,,107695,65.0904
ARADâ‚‚-mu,,,,210100,65.0904
ARADâ‚‚-mu,['representative'],,,248676,65.0906
ARADâ‚‚-mu,['representative'],,,113608,65.0913
ARADâ‚‚-mu,['representative'],,,123580,65.093
ARADâ‚‚-mu,,,,107698,65.1005
ARADâ‚‚-mu,,,,330643,65.1008
ARADâ‚‚-mu,,maÅ¡kim[administrator],,248736,65.1013
ARADâ‚‚-mu,['representative'],,,107701,65.1014
ARADâ‚‚-mu,['representative'],,,143751,65.1015
ARADâ‚‚-mu,['representative'],,,107702,65.1016
ARADâ‚‚-mu,['representative'],,,107703,65.1017
